received_at	device_id	f_port	f_cnt	rssi	data_rate_index	consumed_airtime	frm_payload	converted_payload	Data
2025-07-01T09:28:57.706069870Z	wwt-ormstrup-buoy	1	92372	-111		0.082176s	RPBBsfD9QaSNbUGYQB1BlqXNQZSBzUGRD10=	44f041b1f0fd41a48d6d4198401d4196a5cd419481cd41910f5d	('ID', '68', 'Status', '240', 'T0', 22.2426700592041, 'T1', 20.569055557250977, 'T2', 19.03130531311035, 'T3', 18.830957412719727, 'T4', 18.563379287719727, 'T5', 18.13250160217285)
2025-07-01T09:29:27.355572114Z	wwt-ormstrup-buoy	1	92373	-116		0.087296s	XxD/////////////QVu2RkGEXlpDPSlCQVu2Rg==	5f10ffffffffffffffffffff415bb64641845e5a433d2942415bb646	('ID', '95', 'Status', '16', 'Dummy', 13.732000350952148, 'Dissolved Oxygen Concentration', 16.546070098876953, 'Dissolved Oxygen % Saturation', 189.16116333007812, 'External Voltage', 13.732000350952148)
2025-07-01T09:30:03.252963655Z	wwt-ormstrup-buoy	1	92374	-115		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T09:43:19.182701684Z	wwt-ormstrup-buoy	1	92375	-113		0.097536s	YFBBW0euAAAAowAgQVtsi0KJ1ZX/////PYrq6P//////////	6050415b47ae000000a30020415b6c8b4289d595ffffffff3d8aeae8ffffffffffffffff	('ID', '96', 'Status', '80', 'Dummy', 13.71399974822998, 'Turbidity', 68.91715240478516, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.06783086061477661, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T09:58:20.822039699Z	wwt-ormstrup-buoy	1	92379	-114		0.097536s	YNBBXUvHAAAAowAgQVtHrkJSOy3/////PwMJA///////////	60d0415d4bc7000000a30020415b47ae42523b2dffffffff3f030903ffffffffffffffff	('ID', '96', 'Status', '208', 'Dummy', 13.704999923706055, 'Turbidity', 52.55778884887695, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.5118562579154968, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T09:58:52.079061440Z	wwt-ormstrup-buoy	1	92380	-111		0.087296s	RPBBtMWdQaeGrUGYOp1BlfutQZRybUGQ7f0=	44f041b4c59d41a786ad41983a9d4195fbad4194726d4190edfd	('ID', '68', 'Status', '240', 'T0', 22.59649085998535, 'T1', 20.940759658813477, 'T2', 19.02861976623535, 'T3', 18.747888565063477, 'T4', 18.555871963500977, 'T5', 18.1162052154541)
2025-07-01T09:59:35.163453079Z	wwt-ormstrup-buoy	1	92381	-119		0.087296s	XxD/////////////QVu2RkGGvlhDQYkoQVvbIw==	5f10ffffffffffffffffffff415bb6464186be5843418928415bdb23	('ID', '95', 'Status', '16', 'Dummy', 13.732000350952148, 'Dissolved Oxygen Concentration', 16.842941284179688, 'Dissolved Oxygen % Saturation', 193.5357666015625, 'External Voltage', 13.741000175476074)
2025-07-01T10:00:12.520389625Z	wwt-ormstrup-buoy	1	92382	-113		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T10:13:20.810912715Z	wwt-ormstrup-buoy	1	92383	-118		0.097536s	YFBBWv30AAAAowAgQVrZF0ITTXv/////PuieV///////////	6050415afdf4000000a30020415ad91742134d7bffffffff3ee89e57ffffffffffffffff	('ID', '96', 'Status', '80', 'Dummy', 13.678000450134277, 'Turbidity', 36.82566452026367, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.45433303713798523, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T10:14:01.502192378Z	wwt-ormstrup-buoy	1	92384	-113		0.082176s	RHBBtlCNQagIrUGYBI1BlcX9QZRmjUGRIy0=	447041b6508d41a808ad4198048d4195c5fd4194668d4191232d	('ID', '68', 'Status', '112', 'T0', 22.789331436157227, 'T1', 21.004236221313477, 'T2', 19.002222061157227, 'T3', 18.7216739654541, 'T4', 18.550073623657227, 'T5', 18.142175674438477)
